Titlu,Rezumat,Data Publicării,URL
Выборы и референдум в Кишиневе:,"Выборы и референдум в Кишиневе: Во время спора о политике в поликлинике едва не подрались пенсионеры, 75-летнего зачинщика скандала пришлось вывести, чтобы ему плохо не стало",20-10-2024 19:36:56,http://md.kp.media/online/news/6049733/
Когда на родине фермерство медленно и уверенно убивают:,Когда на родине фермерство медленно и уверенно убивают: Гражданин Молдовы выращивает в России 123 сорта винограда и делает вино,20-10-2024 18:31:28,http://md.kp.media/online/news/6049646/
Количество нарушений на выборах в Молдове растет:,"Количество нарушений на выборах в Молдове растет: Это подвоз избирателей, флаги Евросоюза на участках, недопуск наблюдателей",20-10-2024 17:39:56,http://md.kp.media/online/news/6049618/
Самые длинные очереди к избирательным участкам,"Самые длинные очереди к избирательным участкам - в России: Где еще по данным МИДа граждане Молдовы проводят много времени в ожидании, чтобы проголосовать на выборах",20-10-2024 15:47:27,http://md.kp.media/online/news/6049572/
"Последнее вывозят, и никто не пытается привезти в Кишинев:","Последнее вывозят, и никто не пытается привезти в Кишинев: У двух пассажиров, вылетающих из Молдовы, были обнаружены крупные суммы в валюте, деньги отобрали",20-10-2024 14:38:11,http://md.kp.media/online/news/6047222/
Выборы президента Молдовы начались с огромных очередей:,"Выборы президента Молдовы начались с огромных очередей: Сотни людей с раннего утра съехались со всей  России к двум участкам для голосования, открытых для полумиллиона граждан нашей страны",20-10-2024 12:37:55,http://md.kp.media/online/news/6049236/
Топ-5 новостей в Молдове 20 октября 2024:,"Топ-5 новостей в Молдове 20 октября 2024: В Молдове проходят выборы президента - почему важно выйти и проголосовать; из Молдовы бегут сотни тысяч граждан; последний холодный день в Молдове перед очередным ""бабьим летом""",20-10-2024 11:11:52,http://md.kp.media/online/news/6049193/
Абонент уже не абонент:,"Абонент уже не абонент: Почему статистика Молдтелекома должна ужаснуть власти Молдовы, но, увы, совсем их не волнует и не трогает",20-10-2024 10:07:11,/daily/27645/4996378/
"Последний прохладный день перед очередным ""бабьим летом"":",45-летнюю Джанабаеву поздравляют с беременностью: «Во Меладзе дает»,20-10-2024 09:07:30,/daily/27649.5/4999974/
Голосование по почте для граждан Молдовы:,"Последний прохладный день перед очередным ""бабьим летом"": В воскресенье жителей Молдовы ждут +12, но на следующей неделе уже до 18 градусов тепла",20-10-2024 08:22:48,http://md.kp.media/online/news/6048861/
