Titlu,Vizualizari,Data publicarii,Sursa,Referinte,Rezumat
"Dosarul corupției de la Orhei: Trei inculpați, în arest la domiciliu",2019,5 ore în urmă,https://stiri.md/article/social/dosarul-coruptiei-de-la-orhei-trei-inculpati-in-arest-la-domiciliu,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Instanța de judecată s-a expus astăzi, 13 octombrie, asupră măsurii preventive în privința celor patru persoane, reținute vineri de CNA, la Orhei, într-un dosar de corupere pasivă și finanțare ilegală a unei formațiuni politice."
Iranul avertizează: Nu avem linii roșii în apărarea poporului nostru,1178,3 ore în urmă,https://stiri.md/article/international/iranul-avertizeaza-nu-avem-linii-rosii-in-apararea-poporului-nostru,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Ministrul iranian de externe Abbas Araqchi a avertizat duminica aceasta că Teheranul nu are ""linii roşii"" atunci când vine vorba de apărarea poporului şi a intereselor sale, într-un moment de tensiune maximă în Orientul Mijlociu şi în faţa eforturilor Republicii Islamice de a descuraja un război regional."
Kremlin: Putin e deschis pentru un dialog cu Scholz despre Ucraina,2066,4 ore în urmă,https://stiri.md/article/international/kremlinul-anunta-ca-putin-e-deschis-pentru-un-dialog-cu-scholz-despre-ucraina,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Preşedintele rus Vladimir Putin este deschis unui dialog cu cancelarul german Olaf Scholz, a declarat duminică purtătorul de cuvânt al Kremlinului, Dmitri Peskov."
La toate intrările către PMAN au fost amplasate panouri informative,1966,4 ore în urmă,https://stiri.md/article/social/la-toate-intrarile-catre-pman-au-fost-amplasate-panouri-informative,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Primăria Municipiului Chișinău informează că la toate intrările către Piața Marii Adunări Naționale (PMAN) au fost amplasate panouri informative pentru cetățeni, cu detalii despre locațiile importante ale sărbătorii Hramului orașului Chișinău, pentru zilele de 13-14 octombrie 2024."
"Rusia, acuzată că a executat nouă prizonieri ucraineni. ONU, sesizată",1388,4 ore în urmă,https://stiri.md/article/international/rusia-acuzata-ca-a-executat-noua-prizonieri-ucraineni-onu-si-crucea-rosie-sesizate,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Ombudsmanul ucrainean Dmitri Lubineţ a sesizat duminică Comitetul Internaţional al Crucii Roşii (CICR) şi ONU cu privire la presupusa execuţie a nouă prizonieri de război ucraineni de către soldaţi ruşi în regiunea rusă Kursk, unde trupele ucrainene au intrat la începutul lunii august pentru a slăbi presiunea forţelor ruse pe frontul din Donbas, în estul Ucrainei."
Ce înseamnă răspunsul Da sau Nu la referendum? Osmochescu explică,2612,4 ore în urmă,https://stiri.md/article/politica/ce-inseamna-raspunsul-da-sau-nu-la-referendum-nicolae-osmochescu-explica,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Referendumul este singurul mod pentru cetățeni de a participa direct la treburile statului, iar referendumul republican constituțional este unul extrem de important. Astfel comentează doctorul în drept și fostul judecător al Curții Constituționale, Nicolae Osmochescu, care explică ce înseamnă un eventual răspuns „Da” sau „Nu” la singura întrebare din buletinul de vot."
Criza cadrelor didactice: În raionul Soroca 60 de profesori fac naveta,1107,4 ore în urmă,https://stiri.md/article/social/criza-cadrelor-didactice-in-raionul-soroca-60-de-profesori-fac-naveta,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Profesia de pedagog s-a transformat într-o adevărată vocație pentru majoritatea dintre ei. Ne referim la profesorii care sunt nevoiți să facă naveta, parcurgând zeci de kilometri între localități pentru a ajunge la școală."
Sandu: Am avut o discuție importantă cu 140 de tineri despre politică,975,4 ore în urmă,https://stiri.md/article/politica/maia-sandu-am-avut-o-discutie-importanta-cu-140-de-tineri-despre-politica,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Președintele R. Moldova, Maia Sandu, a avut astăzi, 13 octombrie, o discuție cu circa 140 de tineri despre alegeri, politică și aderarea la UE."
"Drumul Dragonului, un nou traseu ecoturistic lansat la Orheiul Vechi",2011,5 ore în urmă,https://stiri.md/article/social/drumul-dragonului-un-nou-traseu-ecoturistic-lansat-la-orheiul-vechi,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Un nou traseu ecoturistic „Drumul Dragonului""  a fost lansat astăzi, 13 octombrie, în inima Rezervației Cultural-Naturale „Orheiul Vechi”."
Fără exit-poll la alegerile din 20 octombrie: Precizările CEC,2939,3 ore în urmă,https://stiri.md/article/social/fara-exit-poll-la-alegerile-din-20-octombrie-precizarile-cec,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Pe 20 octombrie, când în Republica Moldova au loc alegeri prezidențiale și referendumul republican pentru includerea vectorului european în Constituția țării, nu va fi organizat exit-poll – sondaj electoral efectuat imediat ce alegătorii ies din cabinele de vot."
