Titlu,Vizualizari,Data publicarii,Sursa,Referinte,Rezumat,,,,
Alertă falsă cu bombă la o instituție de plasament: Autorul este căutat,722,Data Extrase,https://stiri.md/article/social/alerta-falsa-cu-bomba-la-o-institutie-de-plasament-autorul-apelului-este-cautat,,"Un apel fals privind o bomb? la o institu?ie de plasament din Cahul a alertat poli?ia, care a intervenit rapid la fa?a locului. Dup? verific?ri, nu s-a g?sit niciun dispozitiv exploziv, iar activitatea institu?iei a fost reluat?. Autorit??ile investigheaz? pentru a identifica persoana responsabil? de apel, men?ion?nd c? astfel de ac?iuni constituie o infrac?iune.",,,,
"Proba interviului în concursul pentru șefia PCCOCS, amânată",661,"8 Octombrie 2024, 20:28",https://stiri.md/article/social/proba-interviului-in-concursul-pentru-sefia-pccocs-amanata,,"Proba interviului pentru func?ia de procuror-?ef al PCCOCS, programat? pentru patru candida?i, a fost am?nat?. Decizia a fost luat? de Comisia de preselec?ie, care a?teapt? r?spunsuri privind integritatea candida?ilor de la autorit??ile competente. Interviul a fost reprogramat pentru data de 17 octombrie.",,,,
Lituania a confiscat provizii militare destinate Rusiei din Kaliningrad,1603,"8 Octombrie 2024, 20:50",https://stiri.md/article/international/lituania-a-confiscat-provizii-militare-destinate-rusiei-din-kaliningrad,,"Vama lituanian? a confiscat transporturi de provizii militare, inclusiv pantaloni de camuflaj ?i plase, destinate Moscovei, care au trecut din enclava rus? Kaliningrad. Aceste provizii, considerate militare, necesitau o autoriza?ie special? ?i au fost redirec?ionate c?tre Ucraina. Lituania r?m?ne un sus?in?tor fidel al Ucrainei, contribuind cu ajutoare militare ?i umanitare semnificative.",,,,
Pentru o Moldovă Normală: Ce promite Ulianovschi dacă devine președinte,609,"8 Octombrie 2024, 20:45",https://stiri.md/article/politica/programul-pentru-o-moldova-normala-ce-promite-ulianovschi-daca-devine-presedinte,,"Tudor Ulianovschi, candidat independent la pre?edin?ie, propune programul ?Pentru o Moldov? Normal?,? care include zece obiective prioritare. El promite negocieri pentru integrarea Moldovei ?n UE, axate pe interesele na?ionale ?i bun?starea cet??enilor, nu doar pe cerin?ele externe. Ulianovschi sus?ine c? va monitoriza personal negocierile cu UE ?i va desemna un consilier pentru aceasta. De asemenea, el promite reforme ?n infrastructur? ?i condi?ii de munc? mai bune pentru angaja?ii din acest sector, cu salarii corecte ?i echipamente adecvate.",,,,
Experți: Pământul arată un viitor sumbru pentru umanitate,1196,"8 Octombrie 2024, 20:40",https://stiri.md/article/social/experti-pamantul-arata-un-viitor-sumbru-pentru-umanitate,,"Un grup de exper?i ?n clim? avertizeaz? c? semnele vitale ale P?m?ntului, precum nivelurile ridicate de dioxid de carbon ?i cre?terea rapid? a popula?iei, ating recorduri periculoase, suger?nd un viitor sumbru pentru umanitate. Raportul lor arat? c? ?nc?lzirea global? extrem? provoac? fenomene climatice mortale, cum ar fi uragane ?i valuri de c?ldur? de 50?C, afect?nd miliarde de oameni. Cercet?torii cer m?suri urgente pentru reducerea emisiilor de gaze ?i a consumului excesiv pentru a limita suferin?a uman? ?i a proteja ecosistemele.",,,,
"Reparația drumului: Traficul în unele zone din Capitală, suspendat",429,"8 Octombrie 2024, 20:30",https://stiri.md/article/social/reparatia-drumului-traficul-in-unele-zone-din-capitala-suspendat,,"Prim?ria Chi?in?u anun?? suspendarea traficului ?n intersec?ia giratorie a str?zilor Calea Orheiului, Calea Mo?ilor, Petricani ?i Doina pentru lucr?ri de repara?ie a asfaltului. Traficul va fi oprit ?ntre 8-9 octombrie ?i 9-10 octombrie, de la 23:40 p?n? la 5:00. ?oferii sunt ruga?i s? respecte indica?iile agen?ilor de circula?ie ?i regulile de trafic.",,,,
Rusia menține legătura cu SUA și NATO ca să prevină conflictele nucleare,938,"8 Octombrie 2024, 20:20",https://stiri.md/article/international/rusia-mentine-legatura-cu-sua-si-nato-ca-sa-previna-conflictele-nucleare,,"Rusia men?ine linii de comunicare de urgen?? cu SUA ?i NATO pentru a preveni conflicte nucleare ?n contextul tensiunilor actuale. Aceste canale includ un sistem securizat de contact direct ?ntre liderii militari ?i o linie special? pentru situa?ii nucleare, stabilite ?n perioada R?zboiului Rece. De asemenea, ?n 2013 s-a creat o linie direct? cu NATO pentru gestionarea crizelor. Recent, Rusia ?i-a actualizat doctrina nuclear? ca r?spuns la cre?terea rolului armelor nucleare ?n strategia NATO, iar pre?edintele Putin avertizeaz? asupra implic?rii directe a NATO ?n cazul atacurilor ucrainene pe teritoriul rus.",,,,
Un activist cere o anchetă în legătură cu atentatul asupra lui Gorbunțov,826,"8 Octombrie 2024, 20:15",https://stiri.md/article/social/un-activist-cere-o-ancheta-in-legatura-cu-atentatul-asupra-lui-gorbuntov,,"Activistul Pavel Grigorciuc a declarat c? va transmite avoca?ilor lui German Gorbun?ov informa?ii despre atentatul asupra acestuia din 2012 la Londra, acuz?ndu-l pe politicianul moldovean Renato Usat?i de implicare. Grigorciuc sper? c?, pe baza noilor dovezi, autorit??ile britanice vor emite un mandat interna?ional pentru Usat?i ?n trei luni. Activistul a cerut ?i o anchet? ?n Republica Moldova, sus?in?nd c? Usat?i este protejat de autorit??i ?i folosit pentru a fragmenta opozi?ia politic?.",,,,
Cine sunt principalii cumpărători ai motorinei rusești după embargoul UE,980,"8 Octombrie 2024, 20:10",https://stiri.md/article/international/cine-sunt-principalii-cumparatori-ai-motorinei-rusesti-dupa-embargoul-ue,,"Dup? impunerea embargoului UE pe importurile de produse petroliere ruse?ti, Turcia ?i Brazilia au devenit cei mai mari importatori de motorin? ?i p?cur? din Rusia. ?n septembrie 2023, Rusia a exportat Turciei 1,07 milioane de tone ?i Braziliei 780.000 de tone de motorin?, cu cre?teri fa?? de august. Totodat?, exporturile ruse?ti au crescut ?n regiunile Africa, Asia ?i Orientul Mijlociu, inclusiv prin transferuri de marf? ?ntre nave ?n apropierea Italiei ?i Greciei.",,,,
Moldovenii vor salarii europene și legi stricte ca în UE,1408,"8 Octombrie 2024, 20:00",https://stiri.md/article/social/moldovenii-vor-salarii-europene-si-legi-stricte-ca-in-ue,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","O campanie de informare sus?inut? de GIZ arat? c? tot mai mul?i cet??eni moldoveni, inclusiv cei care au lucrat ?n str?in?tate sau au rude ?n diaspor?, sus?in parcursul european al Republicii Moldova. ?n interviurile realizate, oamenii ?i-au exprimat dorin?a de a avea ?n Moldova salarii mai mari ?i legi stricte, ca ?n Uniunea European?. Campania ?ncearc? s? combat? dezinformarea despre aderarea Moldovei la UE, inclusiv mitul conform c?ruia minorit??ile etnice din ?ar? s-ar opune apropierii de UE.",,,,
